Unnamed: 0,Ano Mês,Consumo,Ano,Mês,Dias com Precipitação,Precipitação,Pressão,Temperatura,Vento Máx,Vento Méd,Consumo Médio,Rlin,Consumo_fuzzy,ConsumoMLP,ConsumoMLP2
62,2018-03,478114.716,2018,3,12.891891891891891,144.7621621621621,976.8743528108107,21.558056054054056,8.516216216216216,2.435886378378378,321283.6438333333,355636.092948196,356978.53935010266,470392.1693913074,470392.1693913074
63,2018-04,386095.065,2018,4,10.702702702702704,96.95135135135136,980.9396811081084,21.767675999999994,7.613513513513513,2.347185702702702,321283.6438333333,356932.4117827192,368787.8034558706,428766.9392640238,428766.9392640238
64,2018-05,330628.46300000005,2018,5,13.162162162162161,109.95675675675673,982.2116870540542,16.717352513513514,7.924324324324327,2.5146479189189197,321283.6438333333,358228.7306172423,267388.61170290865,355398.0985388919,355398.0985388919
65,2018-06,302382.1080000001,2018,6,15.378378378378383,120.50810810810808,983.1208415135136,12.101225486486484,9.037837837837838,2.4644504864864865,321283.6438333333,359525.0494517654,267770.9682727612,291016.76684744196,291016.76684744196
66,2018-07,284376.07299999986,2018,7,16.243243243243242,138.86486486486487,983.0782419189187,13.13572154054054,8.562162162162162,2.740946621621622,321283.6438333333,360821.3682862885,267753.0619838428,268749.02417043765,268749.02417043765
67,2018-08,284391.552,2018,8,13.378378378378383,112.5135135135135,983.5804466486487,12.72818116216216,8.672972972972975,2.752922837837838,321283.6438333333,362117.6871208117,267964.0989723621,263370.05860222975,263370.05860222975
68,2018-09,281438.973,2018,9,15.135135135135135,186.6594594594594,979.606404621622,17.41856054054054,10.33783783783784,2.9769974864864865,321283.6438333333,363414.00595533475,267181.3277596349,295682.0948346061,295682.0948346061
69,2018-10,278643.91499999986,2018,10,11.432432432432432,152.6,979.1108285675674,18.337758702702708,8.959459459459461,3.0389723513513514,321283.6438333333,364710.3247898579,268340.5898993318,302258.03221016674,302258.03221016674
70,2018-11,310718.77400000003,2018,11,10.18918918918919,167.87027027027025,977.6407984864863,21.149839270270267,8.681081081081082,3.068813351351352,321283.6438333333,366006.643624381,338533.4615364275,318107.33775118855,318107.33775118855
71,2018-12,395485.763,2018,12,11.08108108108108,122.87567567567568,977.2425689729727,22.403110432432428,9.25945945945946,2.7596367027027027,321283.6438333333,367302.9624589041,350380.3425246157,412047.7512514868,412047.7512514868
